,time,open,high,low,close,volume,EMA8,EMA155,UpperBand,LowerBand,Trend,Velocity,Acceleration,wpr,wpr_lf,H,L,H_idx,L_idx,dir,last_H,last_L,H_wpr,L_wpr,BOS,H_raw,L_raw,H_tf,L_tf,H_idx_tf,L_idx_tf,dir_tf,last_H_tf,last_L_tf,low_since_H,high_since_L,swing_tf,swing_H_tf,swing_L_tf,ST_Long,ST_Short,KO_Long,KO_Short,Risk_Long,Risk_Short,Risk_Long_Adm,Risk_Short_Adm,signal,run-up,draw-down
234,20260211  12:57:00,25210.0,25228.0,25139.0,25228.0,-1,25208.02019483145,25262.74399599985,25417.50104386063,25107.986948139067,-27.148366160741762,-0.004104232573792641,0.0002744624991799019,-44.0251572327044,,,25139.0,232.0,234.0,1.0,25210.0,25139.0,-67.17557251908397,-44.0251572327044,UP,,,,,,,-1,,,,,,,,,,,,,,True,False,LONG,122.0,91.0
381,20260211  20:18:00,25122.0,25132.0,25121.0,25131.0,-1,25122.998685006944,25183.23711870419,25310.60128055313,25055.872956855248,-23.21483722352553,0.00029481633121212185,-0.000943256318969365,-8.333333333333334,,,25121.0,379.0,381.0,1.0,25122.0,25121.0,-0.0,-8.333333333333334,UP,,,,,265.0,374.0,-1,25350.0,25120.0,25120.0,25132.0,230.0,,,25097.0,25373.0,34.0,242.0,0.13529107476821456,0.9629541204090566,True,False,LONG,1357.0,10.0
592,20260212  10:00:00,25346.0,25353.0,25343.0,25351.0,-1,25346.277105874316,25346.969195014004,25465.93017943684,25228.008210591168,8.320225519358466,-0.01246180146010449,0.0010291524151760656,-2.2988505747126435,,,25343.0,590.0,592.0,1.0,25346.0,25343.0,-0.0,-2.2988505747126435,UP,,,,,508.0,562.0,-1,26488.0,25266.0,25266.0,25353.0,1222.0,,,25143.8,26610.2,207.20000000000073,1259.2000000000007,0.8173247603644856,4.9670624432961255,True,False,LONG,183.0,12.0
779,20260212  19:21:00,25225.0,25299.0,25219.0,25299.0,-1,25229.778625767423,25350.006309905908,25587.922082944955,25112.09053686686,-22.68061761558046,0.012095810420574967,-0.0072050678518114485,-7.4866310160427805,,,,776.0,778.0,1.0,25230.0,25212.0,-51.690821256038646,-47.05882352941177,UP,,,,,703.0,761.0,-1,25534.0,25126.0,25126.0,25299.0,408.0,,,25085.2,25574.8,213.79999999999927,275.7999999999993,0.8450926914107247,1.0901616664690275,True,False,LONG,103.0,171.0
1028,20260213  10:57:00,25122.0,25223.0,25083.0,25222.0,-1,25136.57403244676,25225.486547461664,25462.34075747132,24988.632337452007,-34.158110461556255,-0.0012863539876019011,-0.004991786946557453,-0.5494505494505495,-87.4913614374568,,25083.0,1026.0,1028.0,1.0,25122.0,25083.0,-30.76923076923077,-0.5494505494505495,UP,,,,,879.0,996.0,-1,25402.0,25041.0,25041.0,25223.0,361.0,,,25004.9,25438.1,217.09999999999854,216.09999999999854,0.8607564824359629,0.856791689794618,True,False,LONG,1213.0,142.0
1802,20260217  07:57:00,25003.0,25117.0,24959.0,25115.0,-1,24994.656605154105,25014.634130608443,25134.78584895249,24894.482412264395,-26.868645434132635,-0.015099330318066534,-0.009276041213515558,-4.294478527607362,-89.24949290060852,,24959.0,1799.0,1802.0,1.0,24964.0,24959.0,-96.93251533742331,-4.294478527607362,UP,,24959.0,,,1668.0,1755.0,-1,26264.0,24956.0,24956.0,25122.0,1308.0,,,24825.2,26394.8,289.7999999999993,1279.7999999999993,1.153892096356756,5.09575950627115,True,False,LONG,84.0,156.0
2076,20260217  21:39:00,25164.0,25316.0,25163.0,25316.0,-1,25189.424408335562,25146.49205231185,25206.91923516911,25086.06486945459,12.841604034664627,0.017659683824658757,0.022401247278913253,-4.1420118343195265,-72.4770642201835,,25163.0,2074.0,2076.0,1.0,25164.0,25163.0,-92.44186046511628,-4.1420118343195265,UP,,,,,1945.0,1981.0,-1,25185.0,25052.0,25052.0,25323.0,133.0,,,25038.7,25198.3,277.2999999999993,-117.70000000000073,1.095354716384892,-0.4649233686206381,True,False,LONG,1072.0,181.0
2380,20260218  16:00:00,25368.0,25532.0,25367.0,25527.0,-1,25438.785724931135,25408.166127826516,25527.79151362748,25288.540742025554,31.65169332568277,-0.0064231907520915675,0.004899530731360713,-1.408450704225352,-60.125698324022345,,,2377.0,2379.0,1.0,25467.0,25344.0,-15.822784810126583,-39.55696202531646,UP,,,,,2324.0,2364.0,-1,25674.0,25177.0,25177.0,25532.0,497.0,,,25127.3,25723.7,399.7000000000007,196.70000000000073,1.5657930818349228,0.7705566654914433,True,False,LONG,224.0,160.0
2614,20260219  06:51:00,25381.0,25487.0,25368.0,25487.0,-1,25399.58916608706,25410.04274762462,25430.26814695541,25389.817348293825,-6.751072604249058,-0.018106129111613144,-0.027380919492267373,-33.5195530726257,-64.58781362007169,,25368.0,2612.0,2614.0,1.0,25381.0,25368.0,-99.40119760479043,-33.5195530726257,UP,,25368.0,,25368.0,2522.0,2614.0,-1,25563.0,25368.0,25368.0,25487.0,195.0,,-195.0,25348.5,25582.5,138.5,95.5,0.5434142896378547,0.3747008278730333,True,False,LONG,153.0,119.0
2774,20260219  14:51:00,25306.0,25321.0,25290.0,25321.0,-1,25307.420372639364,25364.828606175837,25493.081672148684,25236.57554020299,-15.171432060041388,0.007671929304796894,-0.001964951497029725,-30.136986301369863,-79.86526946107784,,25290.0,2772.0,2774.0,1.0,25306.0,25290.0,-50.68493150684932,-30.136986301369863,UP,,,,,2637.0,2614.0,1,25640.0,25368.0,25270.0,25640.0,272.0,,,25340.8,25640.0,-19.799999999999272,319.0,-0.07819596382449064,1.2598238616168398,True,False,LONG,1.0,31.0
2808,20260219  16:33:00,25288.0,25295.0,25287.0,25295.0,-1,25290.77908994159,25341.432560497204,25460.502241260223,25222.362879734184,-17.747315357075507,0.002707761522173049,-0.0007609658927808342,-48.91304347826087,-86.74603174603175,,25287.0,2806.0,2808.0,1.0,25290.0,25287.0,-54.34782608695652,-48.91304347826087,UP,,,,,2637.0,2614.0,1,25640.0,25368.0,25248.0,25640.0,272.0,,,25340.8,25640.0,-45.79999999999927,345.0,-0.18106345127495263,1.3639059102589444,True,False,LONG,1199.0,80.0
3093,20260220  09:57:00,25328.0,25425.0,25261.0,25424.0,-1,25332.23858843213,25293.339644295,25369.99520187297,25216.68408671703,7.220190775066818,0.03270265396999753,0.021448530385555303,-20.704845814977972,-81.2452543659833,,25261.0,3088.0,3093.0,1.0,25315.0,25261.0,-68.72246696035242,-20.704845814977972,UP,,,,,3030.0,3083.0,-1,25424.0,25244.0,25244.0,25425.0,180.0,,,25226.0,25442.0,198.0,18.0,0.7787916928886092,0.07079924480805538,True,False,LONG,1237.0,163.0
3403,20260223  04:36:00,25278.0,25313.0,25277.0,25313.0,-1,25283.89932966919,25349.097736118136,25503.286733862118,25194.908738374153,-14.898105527902887,0.00908789851344915,-0.005069974915522069,-12.195121951219512,-93.22268326417704,,25277.0,3401.0,3403.0,1.0,25278.0,25277.0,-97.5609756097561,-12.195121951219512,UP,,25277.0,,,3336.0,3392.0,-1,26571.0,25277.0,25277.0,25313.0,1294.0,,,25147.6,26700.4,165.40000000000146,1387.4000000000015,0.6534191917196756,5.480978153517961,True,False,LONG,257.0,36.0
